Clients,Branch,Arrival,Start,Waitint Time,Operation,Quantity,Step,Balance,Risk
Client 5,Bank Branch C,0,0,0,Deposit,4819,1,8031,
Client 7,Bank Branch A,0,0,0,Loan,3758,1,5858,40.05
Client 7,Bank Branch A,0,0,0,Invest,254,1,5858,100
Client 9,Bank Branch C,0,0,0,Loan,4314,1,1544,100
Client 4,Bank Branch B,0,0,0,Deposit,3988,1,6149,
Client 4,Bank Branch B,0,0,0,Invest,117,1,6149,100
Client 1,Bank Branch C,0,1.05,1.05,Deposit,3398,1,4004,
Client 6,Bank Branch A,0,1.16,1.16,Invest,3462,1,613,19.32
Client 10,Bank Branch C,0,1.4,1.4,Retire,4108,1,2829,
Client 7,Bank Branch A,0,1.24,1.24,Retire,4321,1,1537,
Client 8,Bank Branch B,0,1.54,1.54,Deposit,3417,1,5757,
Client 4,Bank Branch B,0,1.82,1.82,Retire,1507,1,4642,
Client 9,Bank Branch C,0,2.28,2.28,Invest,2256,1,1544,100
Client 6,Bank Branch A,0,2.85,2.85,Loan,539,1,1152,100
Client 7,Bank Branch A,0,2.81,2.81,Loan,1078,1,1537,100
Client 9,Bank Branch C,0,2.82,2.82,Deposit,486,1,2030,
Client 7,Bank Branch A,0,4.35,4.35,Invest,1229,1,1537,100
Client 1,Bank Branch C,0,3.79,3.79,Invest,1536,1,4004,100
Client 1,Bank Branch C,0,4.7,4.7,Deposit,1047,1,5051,
Client 9,Bank Branch C,0,5.65,5.65,Invest,1562,1,2030,100
Client 2,Bank Branch C,0,5.75,5.75,Loan,4015,1,6474,21.39
Client 5,Bank Branch C,0,7.12,7.12,Retire,166,1,7865,
Client 9,Bank Branch C,0,7.48,7.48,Invest,4924,1,2030,100
Client 10,Bank Branch C,0,8.46,8.46,Retire,2601,1,228,
Client 5,Bank Branch C,0,9.08,9.08,Deposit,3690,1,11555,
Client 2,Bank Branch C,0,10.4,10.4,Retire,1181,1,5293,
Client 2,Bank Branch C,0,10.21,10.21,Invest,817,1,5293,100
Client 10,Bank Branch C,0,11.66,11.66,Deposit,4856,1,5084,
Client 10,Bank Branch C,0,11.77,11.77,Invest,1792,1,5084,100
Client 6,Bank Branch A,13.67,13.67,0.0,Retire,1856,2,1751.98,
Client 6,Bank Branch A,13.67,13.67,0.0,Invest,3329,2,1751.98,55.0
Client 8,Bank Branch B,13.67,13.67,0.0,Loan,2142,2,5757,100
Client 3,Bank Branch C,13.67,13.67,0.0,Invest,2287,2,1713,19.45
Client 4,Bank Branch B,13.67,13.67,0.0,Invest,646,2,4642,100
Client 9,Bank Branch C,13.67,13.67,0.0,Deposit,4574,2,6604,
Client 7,Bank Branch A,13.67,15.01,1.34,Retire,1771,2,747.82,
Client 6,Bank Branch A,13.67,14.9,1.23,Invest,1357,2,1751.98,100
Client 1,Bank Branch C,13.67,15.67,2.0,Loan,3431,2,5051,100
Client 8,Bank Branch B,13.67,15.48,1.8,Retire,3627,2,2130,
Client 8,Bank Branch B,13.67,15.61,1.94,Deposit,232,2,2362,
Client 1,Bank Branch C,13.67,15.57,1.89,Loan,4200,2,9251,17.78
Client 9,Bank Branch C,13.67,17.17,3.5,Retire,4506,2,2098,
Client 9,Bank Branch C,13.67,17.3,3.63,Deposit,2923,2,5021,
Client 10,Bank Branch C,13.67,18.5,4.82,Invest,3146,2,1938,21.39
Client 3,Bank Branch C,13.67,18.26,4.59,Retire,1518,2,195,
Client 3,Bank Branch C,13.67,19.56,5.89,Invest,2331,2,195,19.02
Client 10,Bank Branch C,13.67,19.72,6.04,Loan,3265,2,5203,21.39
