Clients,Branch,Arrival,Start,Waitint Time,Operation,Quantity,Step,Balance,Risk
Client 8,Bank Branch A,0,0,0,Retire,4768,1,55,
Client 16,Bank Branch B,0,0,0,Loan,4281,1,136,100
Client 8,Bank Branch A,0,0,0,Invest,4629,1,55,100
Client 15,Bank Branch C,0,0,0,Loan,2135,1,6052,55.0
Client 2,Bank Branch C,0,0,0,Loan,2251,1,5803,55.0
Client 16,Bank Branch B,0,0,0,Retire,3549,1,136,
Client 16,Bank Branch B,0,1.19,1.19,Retire,3124,1,136,
Client 1,Bank Branch A,0,1.01,1.01,Invest,387,1,3130,100
Client 11,Bank Branch A,0,1.69,1.69,Loan,2524,1,3455,28.84
Client 18,Bank Branch B,0,1.92,1.92,Invest,1414,1,2445,55.0
Client 5,Bank Branch C,0,1.71,1.71,Retire,3547,1,3228,
Client 2,Bank Branch C,0,1.78,1.78,Loan,4873,1,10676,22.11
Client 6,Bank Branch B,0,3.12,3.12,Retire,4952,1,3131,
Client 13,Bank Branch A,0,3.02,3.02,Loan,2079,1,2273,55.0
Client 3,Bank Branch C,0,3.23,3.23,Retire,3657,1,3161,
Client 11,Bank Branch A,0,2.96,2.96,Invest,4144,1,3455,21.39
Client 6,Bank Branch B,0,2.88,2.88,Loan,3757,1,6888,20.63
Client 15,Bank Branch C,0,3.76,3.76,Loan,2946,1,6052,55.0
Client 6,Bank Branch B,0,4.4,4.4,Invest,4434,1,6888,16.55
Client 20,Bank Branch C,0,4.55,4.55,Deposit,3109,1,3221,
Client 14,Bank Branch B,0,4.84,4.84,Invest,1214,1,1826,100
Client 8,Bank Branch A,0,4.52,4.52,Invest,1499,1,55,100
Client 20,Bank Branch C,0,5.18,5.18,Loan,2338,1,3221,55.0
Client 1,Bank Branch A,0,4.63,4.63,Retire,3731,1,3130,
Client 12,Bank Branch B,0,5.67,5.67,Invest,1368,1,1075,100
Client 17,Bank Branch C,0,5.84,5.84,Deposit,683,1,812,
Client 5,Bank Branch C,0,6.2,6.2,Loan,4521,1,7749,16.16
Client 16,Bank Branch B,0,5.97,5.97,Invest,585,1,136,85.81
Client 13,Bank Branch A,0,6.1,6.1,Invest,2245,1,28,55.0
Client 7,Bank Branch A,0,6.56,6.56,Deposit,1616,1,3887,
Client 6,Bank Branch B,0,6.89,6.89,Retire,4712,1,2176,
Client 3,Bank Branch C,0,6.89,6.89,Deposit,1376,1,4537,
Client 14,Bank Branch B,0,7.53,7.53,Invest,4420,1,1826,100
Client 15,Bank Branch C,0,7.42,7.42,Retire,3847,1,2205,
Client 13,Bank Branch A,0,7.98,7.98,Loan,4675,1,4703,55.0
Client 14,Bank Branch B,0,8.12,8.12,Loan,1198,1,1826,100
Client 8,Bank Branch A,0,7.93,7.93,Loan,4760,1,4815,100
Client 5,Bank Branch C,0,8.23,8.23,Loan,4397,1,7749,16.73
Client 5,Bank Branch C,0,8.96,8.96,Deposit,2544,1,10293,
Client 14,Bank Branch B,0,8.9,8.9,Invest,317,1,1826,86.61
Client 16,Bank Branch B,0,9.42,9.42,Invest,769,1,136,84.43
Client 13,Bank Branch A,0,9.45,9.45,Loan,3054,1,7757,55.0
Client 5,Bank Branch C,0,9.72,9.72,Retire,4454,1,5839,
Client 13,Bank Branch A,0,9.25,9.25,Invest,4252,1,7757,55.0
Client 19,Bank Branch A,0,11.05,11.05,Loan,947,1,3085,100
Client 10,Bank Branch A,0,11.08,11.08,Loan,604,1,1453,83.79
Client 4,Bank Branch A,0,12.36,12.36,Deposit,1741,1,6709,
Client 11,Bank Branch A,0,12.59,12.59,Loan,4922,1,8377,21.39
Client 1,Bank Branch A,0,13.37,13.37,Invest,2605,1,525,55.0
Client 7,Bank Branch A,0,14.54,14.54,Deposit,1283,1,5170,
Client 8,Bank Branch A,0,14.25,14.25,Invest,888,1,4815,100
Client 19,Bank Branch A,0,15.56,15.56,Deposit,2072,1,5157,
Client 8,Bank Branch A,0,16.07,16.07,Invest,4239,1,4815,100
Client 8,Bank Branch A,0,17.04,17.04,Invest,730,1,4815,100
Client 8,Bank Branch A,0,18.03,18.03,Deposit,2066,1,6881,
Client 8,Bank Branch A,0,18.74,18.74,Invest,3223,1,3658,16.71
Client 1,Bank Branch A,0,19.66,19.66,Invest,2812,1,525,55.0
Client 10,Bank Branch A,0,20.18,20.18,Loan,1266,1,1453,100
Client 4,Bank Branch A,0,20.8,20.8,Deposit,4858,1,11567,
Client 10,Bank Branch A,0,22.06,22.06,Deposit,1928,1,3381,
