Clients,Branch,Arrival,Start,Waitint Time,Operation,Quantity,Step,Balance,Risk
Client 3,Bank Branch C,0,0,0,Deposit,505,1,1399,
Client 12,Bank Branch C,0,0,0,Invest,231,1,553,84.31
Client 5,Bank Branch B,0,0,0,Deposit,822,1,1524,
Client 10,Bank Branch A,0,0,0,Retire,256,1,166,
Client 11,Bank Branch B,0,0,0,Retire,290,1,105,
Client 10,Bank Branch A,0,0,0,Deposit,691,1,857,
Client 16,Bank Branch C,0,1.27,1.27,Loan,420,1,378,85.71
Client 7,Bank Branch A,0,1.46,1.46,Invest,240,1,579,85.86
Client 15,Bank Branch B,0,1.58,1.58,Loan,938,1,1609,83.04
Client 19,Bank Branch B,0,1.44,1.44,Loan,878,1,1006,83.54
Client 12,Bank Branch C,0,1.27,1.27,Loan,770,1,1323,84.31
Client 17,Bank Branch C,0,2.4,2.4,Retire,950,1,794,
Client 7,Bank Branch A,0,1.9,1.9,Invest,610,1,579,85.64
Client 13,Bank Branch C,0,2.94,2.94,Invest,457,1,432,86.39
Client 6,Bank Branch B,0,2.6,2.6,Invest,906,1,453,83.31
Client 14,Bank Branch A,0,2.57,2.57,Retire,555,1,333,
Client 5,Bank Branch B,0,2.69,2.69,Retire,685,1,839,
Client 20,Bank Branch A,0,3.86,3.86,Loan,753,1,1239,84.56
Client 17,Bank Branch C,0,4.12,4.12,Invest,474,1,320,84.23
Client 17,Bank Branch C,0,3.77,3.77,Loan,226,1,320,84.23
Client 6,Bank Branch B,0,4.22,4.22,Deposit,195,1,648,
Client 20,Bank Branch A,0,4.39,4.39,Deposit,187,1,1426,
Client 5,Bank Branch B,0,4.68,4.68,Loan,942,1,1781,83.0
Client 9,Bank Branch A,0,5.07,5.07,Retire,120,1,12,
Client 11,Bank Branch B,0,5.81,5.81,Deposit,236,1,341,
Client 9,Bank Branch A,0,5.92,5.92,Invest,616,1,12,85.59
Client 19,Bank Branch B,0,6.4,6.4,Retire,904,1,102,
Client 10,Bank Branch A,0,6.99,6.99,Retire,349,1,508,
Client 6,Bank Branch B,0,7.04,7.04,Retire,646,1,2,
Client 18,Bank Branch A,0,7.04,7.04,Retire,196,1,173,
Client 10,Bank Branch A,0,8.2,8.2,Loan,376,1,508,86.87
Client 19,Bank Branch B,0,7.73,7.73,Loan,792,1,894,84.25
Client 1,Bank Branch A,0,8.52,8.52,Loan,561,1,283,85.98
Client 2,Bank Branch B,0,8.23,8.23,Invest,572,1,326,83.38
Client 7,Bank Branch A,0,9.42,9.42,Loan,494,1,579,85.86
Client 19,Bank Branch B,0,10.1,10.1,Deposit,342,1,1236,
Client 4,Bank Branch B,0,9.49,9.49,Retire,559,1,422,
Client 4,Bank Branch B,0,11.22,11.22,Deposit,177,1,599,
Client 20,Bank Branch A,12.53,12.53,0.0,Loan,626,2,1267.87,100
Client 11,Bank Branch B,12.53,12.53,0.0,Loan,373,2,341,87.15
Client 17,Bank Branch C,12.53,12.53,0.0,Deposit,707,2,1127.49,
Client 3,Bank Branch C,12.53,12.53,0.0,Deposit,315,2,1714,
Client 8,Bank Branch B,12.53,12.53,0.0,Loan,557,2,1385,83.96
Client 10,Bank Branch A,12.53,12.53,0.0,Deposit,690,2,1198,
Client 4,Bank Branch B,12.53,13.68,1.15,Invest,530,2,69,84.97
Client 13,Bank Branch C,12.53,13.9,1.37,Loan,456,2,432,86.39
Client 7,Bank Branch A,12.53,13.67,1.13,Invest,529,2,579,85.86
Client 17,Bank Branch C,12.53,13.87,1.34,Retire,503,2,624.49,
Client 14,Bank Branch A,12.53,14.19,1.65,Retire,808,2,333,
Client 15,Bank Branch B,12.53,14.19,1.65,Retire,209,2,1204.9,
Client 13,Bank Branch C,12.53,15.04,2.51,Loan,397,2,432,86.39
Client 6,Bank Branch B,12.53,14.96,2.43,Deposit,393,2,395,
Client 16,Bank Branch C,12.53,15.5,2.97,Loan,345,2,378,85.71
Client 1,Bank Branch A,12.53,15.47,2.93,Deposit,547,2,830,
Client 18,Bank Branch A,12.53,15.56,3.02,Loan,124,2,297,84.97
Client 5,Bank Branch B,12.53,15.81,3.28,Deposit,493,2,2078.06,
Client 2,Bank Branch B,12.53,16.11,3.58,Invest,926,2,449.55,83.14
Client 13,Bank Branch C,12.53,16.09,3.55,Deposit,571,2,1003,
Client 20,Bank Branch A,12.53,16.9,4.37,Invest,240,2,1267.87,100
Client 20,Bank Branch A,12.53,17.04,4.51,Deposit,162,2,1429.87,
Client 16,Bank Branch C,12.53,16.73,4.2,Deposit,427,2,805,
Client 15,Bank Branch B,12.53,17.69,5.15,Loan,512,2,1204.9,100
Client 19,Bank Branch B,12.53,17.94,5.41,Loan,975,2,1863.64,82.72
Client 16,Bank Branch C,12.53,18.01,5.48,Retire,782,2,23,
Client 2,Bank Branch B,12.53,19.2,6.67,Deposit,232,2,681.55,
Client 19,Bank Branch B,12.53,18.7,6.16,Invest,147,2,1863.64,83.58
Client 11,Bank Branch B,12.53,20.67,8.14,Loan,191,2,341,87.32
Client 2,Bank Branch B,12.53,20.63,8.09,Retire,304,2,377.55,
Client 5,Bank Branch B,12.53,21.68,9.14,Retire,725,2,1353.06,
Client 17,Bank Branch C,23.25,23.25,0.0,Retire,998,3,724.98,
Client 5,Bank Branch B,23.25,23.25,0.0,Retire,972,3,185.13,
Client 16,Bank Branch C,23.25,23.25,0.0,Deposit,586,3,609,
Client 10,Bank Branch A,23.25,23.25,0.0,Deposit,728,3,1926,
Client 14,Bank Branch A,23.25,23.25,0.0,Retire,809,3,333,
Client 6,Bank Branch B,23.25,23.25,0.0,Loan,945,3,1340,82.98
Client 11,Bank Branch B,23.25,24.92,1.67,Invest,788,3,341,84.28
Client 14,Bank Branch A,23.25,24.99,1.74,Deposit,108,3,441,
Client 17,Bank Branch C,23.25,24.45,1.2,Deposit,779,3,1503.98,
Client 10,Bank Branch A,23.25,25.18,1.93,Loan,744,3,1926,100
Client 16,Bank Branch C,23.25,24.96,1.72,Loan,606,3,609,85.67
Client 8,Bank Branch B,23.25,25.23,1.98,Deposit,561,3,1801.18,
Client 7,Bank Branch A,23.25,26.14,2.89,Loan,540,3,579,85.86
Client 17,Bank Branch C,23.25,26.23,2.99,Retire,451,3,1052.98,
Client 7,Bank Branch A,23.25,26.26,3.01,Deposit,926,3,1505,
Client 15,Bank Branch B,23.25,25.96,2.71,Retire,254,3,755.79,
Client 13,Bank Branch C,23.25,26.47,3.23,Deposit,153,3,1156,
Client 11,Bank Branch B,23.25,26.94,3.69,Loan,732,3,1073,84.72
Client 18,Bank Branch A,23.25,27.14,3.9,Retire,678,3,264.45,
Client 1,Bank Branch A,23.25,27.66,4.41,Invest,199,3,631,83.94
Client 16,Bank Branch C,23.25,27.53,4.28,Loan,863,3,1472,83.67
Client 6,Bank Branch B,23.25,27.7,4.45,Deposit,976,3,2316,
Client 6,Bank Branch B,23.25,28.77,5.52,Retire,625,3,1691,
Client 7,Bank Branch A,23.25,28.99,5.75,Deposit,133,3,1638,
