Clients,Branch,Arrival,Start,Waitint Time,Operation,Quantity,Step,Balance,Risk
Client 3,Bank Branch C,23.25,28.41,5.16,Loan,574,3,1714,85.89
Client 1,Bank Branch A,23.25,28.94,5.69,Loan,140,3,631,83.94
Client 16,Bank Branch C,23.25,29.41,6.16,Deposit,940,3,2412,
Client 4,Bank Branch B,23.25,29.53,6.28,Loan,975,3,1187.1,82.72
Client 9,Bank Branch A,23.25,30.01,6.76,Loan,536,3,12,86.15
Client 16,Bank Branch C,23.25,30.15,6.9,Retire,247,3,2165,
Client 19,Bank Branch B,23.25,29.98,6.73,Loan,608,3,1262.78,85.65
Client 1,Bank Branch A,23.25,30.4,7.15,Invest,489,3,631,83.94
Client 3,Bank Branch C,23.25,31.08,7.84,Loan,143,3,1714,87.5
Client 1,Bank Branch A,23.25,31.54,8.29,Loan,433,3,631,83.94
Client 6,Bank Branch B,23.25,31.21,7.96,Loan,133,3,1691,87.03
Client 16,Bank Branch C,23.25,31.67,8.42,Invest,392,3,2165,85.71
Client 6,Bank Branch B,23.25,31.93,8.68,Loan,102,3,1691,87.03
Client 20,Bank Branch A,23.25,32.06,8.82,Loan,191,3,1271.74,100
Client 12,Bank Branch C,23.25,32.24,8.99,Retire,149,3,954.7,
Client 20,Bank Branch A,23.25,32.59,9.34,Invest,976,3,1271.74,100
Client 12,Bank Branch C,23.25,32.95,9.7,Loan,957,3,1911.7,100
Client 18,Bank Branch A,23.25,33.25,10.0,Loan,214,3,478.45,84.97
Client 8,Bank Branch B,23.25,32.95,9.7,Deposit,885,3,2686.18,
Client 20,Bank Branch A,23.25,33.63,10.39,Retire,672,3,599.74,
Client 2,Bank Branch B,23.25,33.25,10.0,Invest,292,3,209.1,84.97
Client 16,Bank Branch C,23.25,33.45,10.21,Loan,630,3,2165,85.49
Client 16,Bank Branch C,23.25,34.45,11.2,Loan,681,3,2165,85.11
Client 20,Bank Branch A,23.25,34.76,11.51,Deposit,123,3,722.74,
Client 7,Bank Branch A,23.25,34.63,11.38,Deposit,938,3,2576,
Client 4,Bank Branch B,23.25,35.04,11.79,Retire,696,3,491.1,
Client 15,Bank Branch B,23.25,34.75,11.5,Invest,384,3,371.79,100
Client 1,Bank Branch A,23.25,36.09,12.84,Retire,757,3,631,
Client 14,Bank Branch A,23.25,36.21,12.96,Retire,296,3,145,
Client 9,Bank Branch A,23.25,37.38,14.13,Retire,355,3,12,
Client 20,Bank Branch A,23.25,38.05,14.8,Loan,405,3,1127.74,100
Client 1,Bank Branch A,23.25,38.78,15.54,Invest,125,3,631,83.94
Client 4,Bank Branch B,40.45,40.45,0.0,Invest,700,4,296.2,84.97
Client 3,Bank Branch C,40.45,40.45,0.0,Invest,439,4,1714,86.77
Client 13,Bank Branch C,40.45,40.45,0.0,Loan,787,4,1156,100
Client 9,Bank Branch A,40.45,40.45,0.0,Retire,205,4,12,
Client 1,Bank Branch A,40.45,40.45,0.0,Loan,885,4,1584.32,83.49
Client 2,Bank Branch B,40.45,40.45,0.0,Deposit,259,4,696.78,
Client 2,Bank Branch B,40.45,41.56,1.11,Invest,668,4,28.78,84.97
Client 12,Bank Branch C,40.45,41.83,1.37,Loan,465,4,1473.49,100
Client 17,Bank Branch C,40.45,41.84,1.39,Invest,276,4,1153.46,100
Client 18,Bank Branch A,40.45,42.21,1.75,Loan,460,4,831.0,84.97
Client 10,Bank Branch A,40.45,42.17,1.72,Retire,448,4,1478,
Client 5,Bank Branch B,40.45,42.31,1.86,Invest,779,4,-10.81,
Client 17,Bank Branch C,40.45,43.16,2.71,Retire,827,4,326.46,
Client 4,Bank Branch B,40.45,43.14,2.69,Loan,913,4,1209.2,83.25
Client 20,Bank Branch A,40.45,44.0,3.55,Retire,613,4,214.86,
Client 19,Bank Branch B,40.45,44.15,3.7,Deposit,900,4,1561.92,
Client 14,Bank Branch A,40.45,44.14,3.68,Loan,349,4,145,85.35
Client 17,Bank Branch C,40.45,43.77,3.32,Invest,351,4,326.46,100
Client 13,Bank Branch C,40.45,44.95,4.5,Invest,801,4,1156,100
Client 5,Bank Branch B,40.45,45.53,5.08,Deposit,981,4,970.19,
Client 2,Bank Branch B,40.45,45.06,4.61,Retire,122,4,28.78,
Client 17,Bank Branch C,40.45,45.6,5.15,Invest,541,4,326.46,100
Client 20,Bank Branch A,40.45,45.59,5.13,Retire,347,4,214.86,
Client 14,Bank Branch A,40.45,45.34,4.88,Deposit,283,4,428,
Client 13,Bank Branch C,40.45,46.34,5.89,Invest,320,4,1156,100
Client 19,Bank Branch B,40.45,46.59,6.14,Invest,967,4,594.92,82.79
Client 6,Bank Branch B,40.45,46.73,6.27,Deposit,828,4,2191.4,
Client 1,Bank Branch A,40.45,47.01,6.56,Retire,903,4,681.32,
Client 14,Bank Branch A,40.45,47.11,6.66,Retire,413,4,15,
Client 6,Bank Branch B,40.45,48.4,7.95,Invest,572,4,2191.4,100
Client 5,Bank Branch B,40.45,48.35,7.9,Loan,774,4,1744.19,
Client 20,Bank Branch A,40.45,48.89,8.44,Deposit,504,4,718.86,
Client 15,Bank Branch B,40.45,49.42,8.97,Retire,249,4,65.93,
Client 15,Bank Branch B,40.45,50.12,9.67,Retire,786,4,65.93,
Client 19,Bank Branch B,40.45,50.64,10.18,Loan,172,4,594.92,85.26
Client 6,Bank Branch B,40.45,51.22,10.77,Retire,988,4,1203.4,
Client 6,Bank Branch B,40.45,51.86,11.41,Loan,651,4,1203.4,100
Client 16,Bank Branch C,53.4,53.4,0.0,Retire,934,5,638.41,
Client 14,Bank Branch A,53.4,53.4,0.0,Deposit,443,5,458,
Client 6,Bank Branch B,53.4,53.4,0.0,Retire,349,5,526.8,
Client 14,Bank Branch A,53.4,53.4,0.0,Deposit,576,5,1034,
Client 15,Bank Branch B,53.4,53.4,0.0,Invest,262,5,9.06,87.53
Client 3,Bank Branch C,53.4,53.4,0.0,Retire,205,5,1509,
Client 12,Bank Branch C,53.4,54.43,1.04,Retire,202,5,833.27,
Client 18,Bank Branch A,53.4,54.51,1.12,Loan,536,5,1018.05,84.97
Client 6,Bank Branch B,53.4,54.58,1.18,Deposit,147,5,673.8,
Client 7,Bank Branch A,53.4,54.6,1.21,Loan,377,5,2576,100
Client 19,Bank Branch B,53.4,54.67,1.27,Loan,931,5,1447.24,83.1
Client 13,Bank Branch C,53.4,55.07,1.67,Deposit,503,5,1659,
Client 13,Bank Branch C,53.4,55.82,2.42,Deposit,379,5,2038,
Client 20,Bank Branch A,53.4,56.11,2.71,Retire,394,5,24.98,
Client 14,Bank Branch A,53.4,55.86,2.46,Deposit,204,5,1238,
Client 5,Bank Branch B,53.4,56.28,2.88,Invest,432,5,1145.78,100
Client 6,Bank Branch B,53.4,56.08,2.68,Retire,683,5,673.8,
Client 17,Bank Branch C,53.4,56.98,3.59,Retire,858,5,426.95,
Client 13,Bank Branch C,53.4,56.99,3.6,Loan,419,5,2038,100
Client 19,Bank Branch B,53.4,58.03,4.64,Deposit,607,5,2054.24,
Client 3,Bank Branch C,53.4,58.17,4.78,Loan,760,5,2269,84.5
Client 19,Bank Branch B,53.4,57.82,4.42,Invest,768,5,1286.24,84.44
Client 6,Bank Branch B,53.4,59.49,6.09,Invest,480,5,673.8,83.56
Client 17,Bank Branch C,53.4,58.83,5.43,Deposit,857,5,1283.95,
Client 15,Bank Branch B,53.4,59.64,6.25,Loan,506,5,9.06,86.35
Client 19,Bank Branch B,53.4,60.64,7.24,Deposit,929,5,2215.24,
Client 15,Bank Branch B,53.4,61.27,7.87,Loan,465,5,9.06,86.61
