Clients,Branch,Arrival,Start,Waitint Time,Operation,Quantity,Step,Balance,Risk
Client 7,Bank Branch B,0,0,0,Loan,224,1,429,84.97
Client 10,Bank Branch B,0,0,0,Deposit,345,1,838,
Client 1,Bank Branch A,0,0,0,Deposit,340,1,808,
Client 8,Bank Branch C,0,0,0,Invest,522,1,414,83.05
Client 6,Bank Branch C,0,0,0,Loan,459,1,673,85.17
Client 5,Bank Branch A,0,0,0,Invest,409,1,241,86.95
Client 10,Bank Branch B,0,1.13,1.13,Loan,321,1,1159,86.43
Client 8,Bank Branch C,0,1.25,1.25,Deposit,255,1,669,
Client 4,Bank Branch C,0,1.36,1.36,Invest,337,1,584,83.18
Client 7,Bank Branch B,0,1.03,1.03,Retire,859,1,429,
Client 3,Bank Branch C,0,2.35,2.35,Retire,253,1,10,
Client 9,Bank Branch B,0,2.26,2.26,Invest,391,1,408,84.19
Client 10,Bank Branch B,0,2.97,2.97,Deposit,646,1,1805,
Client 8,Bank Branch C,4.29,4.29,0.0,Retire,228,2,551.66,
Client 9,Bank Branch B,4.29,4.29,0.0,Deposit,232,2,724.46,
Client 7,Bank Branch B,4.29,4.29,0.0,Invest,622,2,382.41,84.97
Client 4,Bank Branch C,4.29,4.29,0.0,Invest,689,2,655.44,84.58
Client 5,Bank Branch A,4.29,4.29,0.0,Retire,421,2,241,
Client 1,Bank Branch A,4.29,4.29,0.0,Deposit,859,2,1667,
Client 5,Bank Branch A,4.29,5.63,1.34,Loan,964,2,1205,82.81
Client 9,Bank Branch B,4.29,5.45,1.16,Deposit,620,2,1344.46,
Client 10,Bank Branch B,4.29,5.49,1.2,Retire,378,2,1360.23,
Client 3,Bank Branch C,4.29,5.59,1.3,Retire,794,2,10,
Client 4,Bank Branch C,4.29,5.41,1.12,Loan,869,2,1524.44,83.62
Client 10,Bank Branch B,4.29,6.97,2.68,Deposit,896,2,2256.23,
Client 10,Bank Branch B,4.29,7.08,2.79,Invest,448,2,2256.23,100
Client 2,Bank Branch B,4.29,8.15,3.86,Loan,244,2,1093,83.79
Client 2,Bank Branch B,4.29,8.38,4.09,Loan,898,2,1093,83.38
Client 10,Bank Branch B,4.29,10.14,5.85,Deposit,273,2,2529.23,
Client 10,Bank Branch B,4.29,10.29,6.0,Retire,448,2,2081.23,
Client 5,Bank Branch A,12.13,12.13,0.0,Invest,812,3,139.95,82.92
Client 4,Bank Branch C,12.13,12.13,0.0,Loan,634,3,1372.12,100
Client 9,Bank Branch B,12.13,12.13,0.0,Invest,553,3,1428.91,100
Client 4,Bank Branch C,12.13,12.13,0.0,Loan,295,3,1372.12,100
Client 5,Bank Branch A,12.13,12.13,0.0,Retire,376,3,139.95,
Client 2,Bank Branch B,12.13,12.13,0.0,Retire,751,3,278.56,
Client 3,Bank Branch C,12.13,13.29,1.16,Deposit,883,3,893,
Client 1,Bank Branch A,12.13,13.29,1.16,Invest,912,3,1667,100
Client 10,Bank Branch B,12.13,13.78,1.65,Retire,398,3,1616.46,
Client 1,Bank Branch A,12.13,13.64,1.51,Deposit,220,3,1887,
Client 10,Bank Branch B,12.13,13.5,1.37,Loan,834,3,1616.46,55.0
Client 1,Bank Branch A,12.13,14.41,2.28,Deposit,785,3,2672,
Client 10,Bank Branch B,12.13,15.02,2.89,Retire,611,3,1005.46,
Client 9,Bank Branch B,12.13,15.31,3.18,Deposit,551,3,1979.91,
Client 5,Bank Branch A,17.05,17.05,0.0,Loan,411,4,165.69,86.94
Client 10,Bank Branch B,17.05,17.05,0.0,Retire,927,4,11.7,
Client 1,Bank Branch A,17.05,17.05,0.0,Retire,558,4,2114,
Client 2,Bank Branch B,17.05,17.05,0.0,Invest,704,4,215.12,84.94
Client 4,Bank Branch C,17.05,17.05,0.0,Invest,252,4,1219.8,100
Client 8,Bank Branch C,17.05,17.05,0.0,Loan,782,4,1554.99,84.33
Client 9,Bank Branch B,17.05,18.36,1.31,Deposit,448,4,2512.37,
Client 1,Bank Branch A,17.05,18.53,1.48,Loan,796,4,2114,100
Client 5,Bank Branch A,17.05,18.05,1.0,Deposit,734,4,899.69,
Client 6,Bank Branch C,17.05,18.95,1.91,Loan,368,4,673,85.17
Client 4,Bank Branch C,17.05,19.03,1.99,Invest,815,4,1219.8,100
Client 10,Bank Branch B,17.05,18.95,1.9,Deposit,894,4,905.7,
Client 5,Bank Branch A,17.05,19.66,2.62,Retire,532,4,367.69,
Client 5,Bank Branch A,17.05,19.74,2.69,Deposit,446,4,813.69,
Client 2,Bank Branch B,17.05,19.66,2.61,Loan,228,4,215.12,85.71
Client 3,Bank Branch C,17.05,20.36,3.32,Loan,225,4,1118,83.42
Client 6,Bank Branch C,17.05,20.12,3.07,Loan,237,4,673,85.17
Client 10,Bank Branch B,17.05,20.82,3.77,Invest,685,4,220.7,83.03
Client 6,Bank Branch C,17.05,21.8,4.75,Invest,372,4,673,85.17
Client 9,Bank Branch B,17.05,21.65,4.6,Loan,807,4,3319.37,55.0
Client 10,Bank Branch B,17.05,22.39,5.34,Invest,523,4,220.7,83.03
Client 2,Bank Branch B,17.05,23.48,6.43,Deposit,249,4,464.12,
Client 7,Bank Branch B,17.05,24.18,7.13,Loan,756,4,1045.22,84.54
Client 2,Bank Branch B,17.05,25.33,8.28,Invest,905,4,464.12,83.32
Client 10,Bank Branch B,17.05,26.01,8.96,Loan,991,4,1211.7,82.58
Client 9,Bank Branch B,27.03,27.03,0.0,Deposit,536,5,3520.18,
Client 1,Bank Branch A,27.03,27.03,0.0,Loan,569,5,2114,100
Client 8,Bank Branch C,27.03,27.03,0.0,Loan,729,5,1262.93,100
Client 8,Bank Branch C,27.03,27.03,0.0,Invest,940,5,1262.93,100
Client 1,Bank Branch A,27.03,27.03,0.0,Deposit,576,5,2690,
Client 2,Bank Branch B,27.03,27.03,0.0,Deposit,728,5,1128.68,
Client 1,Bank Branch A,27.03,28.56,1.52,Loan,797,5,2690,100
Client 9,Bank Branch B,27.03,28.81,1.78,Deposit,757,5,4277.18,
Client 8,Bank Branch C,27.03,28.62,1.58,Invest,326,5,1262.93,100
Client 7,Bank Branch B,27.03,28.49,1.46,Retire,521,5,84.51,
