Clients,Branch,Arrival,Start,Waitint Time,Operation,Quantity,Step,Balance,Risk
Client 11,Bank Branch C,0,0,0,Invest,1929,1,1566,55.0
Client 6,Bank Branch B,0,0,0,Loan,2191,1,4518,55.0
Client 4,Bank Branch A,0,0,0,Invest,2895,1,759,55.0
Client 2,Bank Branch B,0,0,0,Invest,713,1,3352,100
Client 11,Bank Branch C,0,0,0,Loan,2790,1,4356,100
Client 1,Bank Branch A,0,0,0,Invest,4974,1,2508,20.33
Client 5,Bank Branch A,0,1.54,1.54,Loan,4931,1,9601,21.94
Client 15,Bank Branch A,0,1.79,1.79,Invest,3150,1,1325,55.0
Client 19,Bank Branch C,0,1.55,1.55,Invest,3624,1,1375,18.6
Client 9,Bank Branch B,0,1.55,1.55,Deposit,4123,1,9048,
Client 19,Bank Branch C,0,1.31,1.31,Invest,4321,1,1375,100
Client 2,Bank Branch B,0,1.43,1.43,Invest,3208,1,3352,100
Client 2,Bank Branch B,0,3.0,3.0,Retire,962,1,2390,
Client 11,Bank Branch C,0,3.04,3.04,Deposit,917,1,5273,
Client 19,Bank Branch C,0,2.99,2.99,Invest,1327,1,1375,100
Client 16,Bank Branch A,0,2.76,2.76,Deposit,707,1,4524,
Client 17,Bank Branch A,0,2.97,2.97,Deposit,1428,1,1715,
Client 16,Bank Branch A,0,4.72,4.72,Deposit,1207,1,5731,
Client 10,Bank Branch A,0,4.89,4.89,Retire,3668,1,3491,
Client 15,Bank Branch A,0,5.85,5.85,Deposit,1126,1,2451,
Client 10,Bank Branch A,0,6.67,6.67,Retire,1567,1,1924,
Client 7,Bank Branch A,0,7.83,7.83,Deposit,1773,1,4019,
Client 1,Bank Branch A,0,8.12,8.12,Loan,3781,1,6289,37.84
Client 12,Bank Branch A,0,9.54,9.54,Deposit,624,1,2372,
Client 10,Bank Branch A,0,10.03,10.03,Loan,1506,1,1924,55.0
Client 15,Bank Branch A,0,11.15,11.15,Loan,1619,1,2451,100
Client 5,Bank Branch A,0,11.03,11.03,Invest,1867,1,9601,100
Client 4,Bank Branch A,0,12.63,12.63,Invest,2383,1,759,55.0
Client 8,Bank Branch A,0,12.76,12.76,Loan,4000,1,7029,19.0
Client 16,Bank Branch A,0,14.28,14.28,Loan,1024,1,5731,55.0
Client 7,Bank Branch A,0,14.37,14.37,Retire,2336,1,1683,
Client 13,Bank Branch A,0,15.86,15.86,Retire,2532,1,1874,
Client 1,Bank Branch A,0,15.97,15.97,Invest,2078,1,4211,55.0
Client 4,Bank Branch A,0,17.2,17.2,Retire,4156,1,759,
Client 19,Bank Branch C,18.87,18.87,0.0,Invest,4403,2,2143.29,32.09
Client 2,Bank Branch B,18.87,18.87,0.0,Deposit,1147,2,3537,
Client 11,Bank Branch C,18.87,18.87,0.0,Invest,3029,2,5107.21,100
Client 17,Bank Branch A,18.87,18.87,0.0,Invest,4824,2,1715,20.33
Client 6,Bank Branch B,18.87,18.87,0.0,Invest,3338,2,724.27,21.39
Client 7,Bank Branch A,18.87,18.87,0.0,Retire,4338,2,1683,
Client 9,Bank Branch B,18.87,20.45,1.58,Loan,3557,2,12605,18.37
Client 19,Bank Branch C,18.87,20.16,1.3,Retire,2663,2,2143.29,
Client 12,Bank Branch A,18.87,20.55,1.68,Invest,512,2,2372,100
Client 3,Bank Branch B,18.87,20.77,1.9,Invest,4307,2,3871,21.08
Client 5,Bank Branch A,18.87,20.87,2.0,Deposit,2572,2,11137.49,
Client 6,Bank Branch B,18.87,21.46,2.59,Loan,265,2,989.27,100
Client 1,Bank Branch A,18.87,21.89,3.02,Deposit,3015,2,6860.06,
Client 16,Bank Branch A,18.87,22.61,3.74,Loan,464,2,5731,100
Client 9,Bank Branch B,18.87,22.27,3.4,Retire,3832,2,8773,
Client 3,Bank Branch B,18.87,23.11,4.24,Loan,2696,2,6567,19.85
Client 7,Bank Branch A,18.87,23.54,4.68,Loan,1190,2,1683,100
Client 10,Bank Branch A,18.87,23.68,4.81,Invest,3080,2,1924,100
Client 9,Bank Branch B,18.87,23.92,5.06,Deposit,2473,2,11246,
Client 2,Bank Branch B,18.87,25.01,6.15,Invest,4477,2,3537,18.47
Client 15,Bank Branch A,18.87,25.03,6.16,Retire,4397,2,2451,
Client 10,Bank Branch A,18.87,25.19,6.32,Invest,4082,2,1924,18.49
Client 2,Bank Branch B,18.87,25.64,6.77,Retire,4157,2,3537,
Client 1,Bank Branch A,18.87,26.88,8.02,Invest,3039,2,3821.06,33.14
Client 9,Bank Branch B,18.87,26.72,7.85,Deposit,1320,2,12566,
Client 4,Bank Branch A,18.87,26.94,8.08,Deposit,4278,2,5633.37,
Client 3,Bank Branch B,18.87,27.16,8.29,Loan,3337,2,9904,19.85
Client 15,Bank Branch A,18.87,28.25,9.38,Deposit,2714,2,5165,
Client 12,Bank Branch A,18.87,28.63,9.76,Invest,2976,2,2372,100
Client 2,Bank Branch B,18.87,28.37,9.5,Invest,4181,2,3537,18.47
Client 6,Bank Branch B,18.87,28.84,9.98,Deposit,2780,2,3769.27,
Client 10,Bank Branch A,18.87,29.68,10.81,Retire,588,2,1336,
Client 1,Bank Branch A,18.87,29.59,10.72,Invest,1797,2,2024.06,55.0
Client 3,Bank Branch B,18.87,30.73,11.86,Invest,1258,2,9904,100
Client 9,Bank Branch B,18.87,30.34,11.47,Loan,1073,2,12566,100
Client 16,Bank Branch A,18.87,31.51,12.64,Deposit,1886,2,7617,
Client 1,Bank Branch A,18.87,31.39,12.52,Invest,2173,2,2024.06,35.72
Client 16,Bank Branch A,18.87,32.87,14.0,Deposit,1823,2,9440,
Client 13,Bank Branch A,18.87,33.3,14.44,Deposit,4599,2,6473,
Client 8,Bank Branch A,18.87,34.6,15.73,Deposit,1583,2,7772.0,
Client 8,Bank Branch A,18.87,34.91,16.04,Invest,4265,2,7772.0,100
Client 16,Bank Branch A,18.87,35.92,17.05,Deposit,3666,2,13106,
Client 7,Bank Branch A,18.87,35.96,17.09,Invest,2634,2,1683,55.0
Client 10,Bank Branch A,18.87,37.2,18.34,Deposit,4024,2,5360,
Client 20,Bank Branch A,18.87,37.61,18.74,Deposit,1181,2,1966,
Client 20,Bank Branch A,18.87,38.23,19.37,Invest,4559,2,1966,55.0
Client 15,Bank Branch A,18.87,38.66,19.8,Loan,1140,2,5165,100
Client 16,Bank Branch A,18.87,39.94,21.08,Invest,1818,2,13106,100
Client 17,Bank Branch A,18.87,39.63,20.76,Deposit,532,2,2247,
Client 18,Bank Branch A,18.87,41.46,22.59,Loan,1352,2,1421,100
Client 13,Bank Branch A,18.87,41.48,22.62,Retire,3008,2,3465,
Client 18,Bank Branch A,18.87,42.59,23.72,Invest,3061,2,1421,55.0
Client 16,Bank Branch A,18.87,43.22,24.35,Loan,2704,2,15810,19.32
Client 15,Bank Branch A,18.87,43.99,25.13,Retire,2857,2,2308,
Client 3,Bank Branch B,45.88,45.88,0.0,Invest,2993,3,5342.42,16.71
Client 3,Bank Branch B,45.88,45.88,0.0,Invest,426,3,5342.42,100
Client 11,Bank Branch C,45.88,45.88,0.0,Retire,1120,3,3821.42,
Client 11,Bank Branch C,45.88,45.88,0.0,Invest,3001,3,3821.42,100
Client 1,Bank Branch A,45.88,45.88,0.0,Loan,2519,3,5422.39,55.0
Client 18,Bank Branch A,45.88,45.88,0.0,Retire,1778,3,1421,
Client 9,Bank Branch B,45.88,46.97,1.08,Deposit,2388,3,14029.18,
Client 6,Bank Branch B,45.88,47.32,1.44,Retire,1993,3,2152.9,
Client 8,Bank Branch A,45.88,47.57,1.68,Retire,4950,3,1982.0,
Client 11,Bank Branch C,45.88,47.33,1.45,Deposit,2761,3,6582.42,
Client 18,Bank Branch A,45.88,47.49,1.61,Retire,1987,3,1421,
Client 3,Bank Branch B,45.88,48.15,2.27,Loan,1150,3,5342.42,100
Client 3,Bank Branch B,45.88,48.43,2.55,Loan,4272,3,5342.42,100
Client 17,Bank Branch A,45.88,48.67,2.79,Loan,2556,3,4803,55.0
Client 9,Bank Branch B,45.88,49.21,3.33,Deposit,3060,3,17089.18,
Client 12,Bank Branch A,45.88,49.18,3.29,Deposit,1858,3,4230,
Client 17,Bank Branch A,45.88,50.35,4.47,Invest,2095,3,2708,55.0
Client 2,Bank Branch B,45.88,50.32,4.44,Retire,1333,3,2204,
Client 18,Bank Branch A,45.88,50.81,4.92,Retire,1756,3,1421,
Client 2,Bank Branch B,45.88,50.61,4.73,Retire,2594,3,2204,
Client 8,Bank Branch A,45.88,51.83,5.95,Loan,958,3,1982.0,100
Client 10,Bank Branch A,45.88,51.36,5.48,Deposit,2217,3,7577,
Client 3,Bank Branch B,45.88,52.36,6.48,Deposit,4325,3,9667.42,
Client 2,Bank Branch B,45.88,51.66,5.78,Invest,709,3,2204,100
Client 12,Bank Branch A,45.88,53.02,7.13,Retire,2948,3,1282,
Client 12,Bank Branch A,45.88,53.35,7.47,Loan,995,3,1282,55.0
Client 3,Bank Branch B,45.88,53.56,7.68,Retire,1809,3,7858.42,
Client 3,Bank Branch B,45.88,53.62,7.73,Retire,4874,3,2984.42,
Client 7,Bank Branch A,45.88,54.39,8.51,Retire,663,3,1020,
Client 13,Bank Branch A,45.88,54.18,8.3,Invest,4061,3,3465,18.62
Client 3,Bank Branch B,45.88,54.74,8.86,Loan,923,3,2984.42,100
Client 4,Bank Branch A,45.88,55.7,9.82,Invest,1546,3,6229.74,100
Client 14,Bank Branch C,56.96,56.96,0.0,Loan,3988,4,5414,55.0
Client 14,Bank Branch C,56.96,56.96,0.0,Loan,966,4,5414,100
Client 16,Bank Branch A,56.96,56.96,0.0,Deposit,2113,4,16503.4,
