Clients,Branch,Arrival,Start,Waitint Time,Operation,Quantity,Step,Balance,Risk
Client 2,Bank Branch B,56.96,56.96,0.0,Deposit,454,4,2658,
Client 2,Bank Branch B,56.96,56.96,0.0,Loan,4218,4,6876,20.29
Client 5,Bank Branch A,56.96,56.96,0.0,Loan,2135,4,11201.47,21.02
Client 6,Bank Branch B,56.96,58.45,1.49,Invest,3996,4,2529.54,22.46
Client 14,Bank Branch C,56.96,58.05,1.09,Retire,2928,4,2486,
Client 19,Bank Branch C,56.96,58.19,1.24,Invest,4951,4,3679.86,19.13
Client 2,Bank Branch B,56.96,58.61,1.65,Loan,1663,4,6876,100
Client 15,Bank Branch A,56.96,58.32,1.36,Loan,931,4,2308,100
Client 1,Bank Branch A,56.96,58.78,1.82,Retire,2371,4,3049.06,
Client 14,Bank Branch C,56.96,59.82,2.86,Loan,2885,4,2486,55.0
Client 16,Bank Branch A,56.96,60.75,3.79,Loan,2624,4,19127.4,19.32
Client 18,Bank Branch A,56.96,60.28,3.32,Loan,3019,4,4440,55.0
Client 8,Bank Branch A,56.96,61.96,5.0,Invest,546,4,1142.0,100
Client 1,Bank Branch A,56.96,62.23,5.27,Deposit,639,4,3688.06,
Client 5,Bank Branch A,56.96,62.99,6.04,Loan,387,4,11588.47,55.0
Client 10,Bank Branch A,56.96,63.93,6.97,Retire,3763,4,3814,
Client 11,Bank Branch C,65.6,65.6,0.0,Invest,1799,5,6250.83,100
Client 10,Bank Branch A,65.6,65.6,0.0,Invest,4560,5,3814,100
Client 13,Bank Branch A,65.6,65.6,0.0,Retire,2640,5,825,
Client 3,Bank Branch B,65.6,65.6,0.0,Deposit,526,5,2528.22,
Client 6,Bank Branch B,65.6,65.6,0.0,Invest,2068,5,838.17,55.0
Client 14,Bank Branch C,65.6,65.6,0.0,Loan,3262,5,432.18,100
Client 14,Bank Branch C,65.6,66.63,1.04,Loan,4903,5,5335.18,55.0
Client 8,Bank Branch A,65.6,66.97,1.37,Invest,2386,5,302.0,100
Client 17,Bank Branch A,65.6,66.91,1.32,Loan,464,5,2357.37,100
Client 14,Bank Branch C,65.6,67.23,1.64,Deposit,3301,5,8636.18,
Client 9,Bank Branch B,65.6,67.08,1.48,Deposit,3769,5,19008.54,
Client 9,Bank Branch B,65.6,67.16,1.57,Deposit,1478,5,20486.54,
Client 1,Bank Branch A,65.6,68.15,2.55,Invest,4853,5,3685.74,20.33
Client 19,Bank Branch C,65.6,68.31,2.71,Invest,1410,5,4448.15,100
Client 4,Bank Branch A,65.6,68.3,2.7,Invest,3482,5,7422.48,100
Client 19,Bank Branch C,65.6,68.06,2.47,Retire,1737,5,2711.15,
Client 9,Bank Branch B,65.6,68.98,3.38,Invest,3090,5,17396.54,18.37
Client 9,Bank Branch B,65.6,69.02,3.43,Retire,1182,5,16214.54,
Client 17,Bank Branch A,65.6,69.48,3.88,Invest,4811,5,2357.37,20.86
Client 19,Bank Branch C,65.6,69.47,3.87,Loan,1466,5,2711.15,100
Client 11,Bank Branch C,65.6,69.6,4.01,Loan,4154,5,10404.83,18.05
Client 18,Bank Branch A,65.6,69.22,3.63,Retire,2806,5,49.02,
Client 9,Bank Branch B,65.6,69.98,4.39,Deposit,4432,5,20646.54,
Client 20,Bank Branch A,65.6,70.76,5.17,Deposit,566,5,2532,
Client 6,Bank Branch B,65.6,70.62,5.02,Invest,2810,5,838.17,55.0
Client 14,Bank Branch C,65.6,70.87,5.28,Deposit,3900,5,12536.18,
Client 9,Bank Branch B,65.6,71.14,5.54,Loan,4601,5,25247.54,21.94
Client 1,Bank Branch A,65.6,71.0,5.41,Invest,3563,5,122.74,43.73
Client 10,Bank Branch A,65.6,71.9,6.3,Loan,2563,5,6377,35.49
Client 1,Bank Branch A,65.6,72.65,7.05,Loan,2793,5,2915.74,43.73
Client 8,Bank Branch A,65.6,73.3,7.71,Invest,1683,5,302.0,100
Client 13,Bank Branch A,65.6,74.13,8.54,Deposit,4407,5,5232,
Client 4,Bank Branch A,65.6,74.4,8.81,Deposit,1184,5,8606.48,
Client 7,Bank Branch A,65.6,75.22,9.63,Deposit,4453,5,5473,
Client 20,Bank Branch A,65.6,75.46,9.87,Loan,4364,5,2532,100
Client 7,Bank Branch A,65.6,76.4,10.8,Deposit,3446,5,8919,
Client 17,Bank Branch A,65.6,76.76,11.16,Deposit,562,5,2919.37,
Client 15,Bank Branch A,65.6,77.71,12.12,Deposit,1080,5,3388,
Client 7,Bank Branch A,65.6,77.79,12.2,Deposit,4735,5,13654,
Client 13,Bank Branch A,65.6,79.13,13.53,Retire,3709,5,1523,
Client 13,Bank Branch A,65.6,79.63,14.03,Loan,2592,5,4115,100
Client 15,Bank Branch A,65.6,81.01,15.41,Loan,3973,5,7361,22.01
Client 15,Bank Branch A,65.6,81.53,15.94,Deposit,2097,5,9458,
Client 17,Bank Branch A,65.6,82.93,17.34,Loan,1175,5,4094.37,55.0
Client 20,Bank Branch A,65.6,82.73,17.14,Loan,1299,5,2532,100
Client 12,Bank Branch A,65.6,84.26,18.66,Retire,2804,5,1282,
Client 10,Bank Branch A,65.6,84.58,18.99,Retire,2353,5,4024,
Client 20,Bank Branch A,65.6,85.45,19.85,Loan,4306,5,2532,100
Client 17,Bank Branch A,65.6,86.29,20.7,Retire,2820,5,1274.37,
Client 4,Bank Branch A,65.6,87.29,21.7,Deposit,2650,5,11256.48,
Client 20,Bank Branch A,65.6,88.12,22.52,Loan,4784,5,2532,100
Client 10,Bank Branch A,65.6,88.57,22.98,Invest,3134,5,890,35.49
Client 5,Bank Branch A,65.6,89.64,24.05,Retire,4892,5,4336.91,
Client 4,Bank Branch A,65.6,89.71,24.12,Deposit,2899,5,14155.48,
Client 18,Bank Branch A,65.6,90.76,25.16,Retire,1670,5,49.02,
