Clients,Branch,Arrival,Start,Waitint Time,Operation,Quantity,Step,Balance,Risk
Client 11,Bank Branch B,0,0,0,Loan,584,1,452,85.82
Client 12,Bank Branch A,0,0,0,Deposit,325,1,1059,
Client 14,Bank Branch C,0,0,0,Loan,564,1,1285,84.81
Client 6,Bank Branch B,0,0,0,Invest,963,1,869,82.82
Client 15,Bank Branch A,0,0,0,Deposit,321,1,1075,
Client 10,Bank Branch C,0,0,0,Invest,840,1,704,83.86
Client 16,Bank Branch C,0,1.26,1.26,Invest,938,1,241,83.04
Client 4,Bank Branch B,0,1.06,1.06,Deposit,406,1,879,
Client 19,Bank Branch B,0,1.29,1.29,Retire,747,1,87,
Client 13,Bank Branch A,0,1.56,1.56,Deposit,471,1,1328,
Client 10,Bank Branch C,0,1.79,1.79,Invest,765,1,704,84.46
Client 17,Bank Branch A,0,1.15,1.15,Invest,768,1,459,84.19
Client 19,Bank Branch B,0,2.5,2.5,Loan,386,1,87,83.91
Client 5,Bank Branch C,0,2.42,2.42,Retire,253,1,436,
Client 11,Bank Branch B,0,2.6,2.6,Invest,309,1,452,86.69
Client 16,Bank Branch C,0,3.0,3.0,Retire,266,1,241,
Client 3,Bank Branch A,0,3.08,3.08,Retire,547,1,143,
Client 13,Bank Branch A,0,2.97,2.97,Loan,862,1,2190,83.68
Client 10,Bank Branch C,0,3.8,3.8,Deposit,891,1,1595,
Client 18,Bank Branch B,0,3.68,3.68,Loan,855,1,1184,83.74
Client 16,Bank Branch C,0,4.28,4.28,Retire,205,1,36,
Client 4,Bank Branch B,0,4.27,4.27,Invest,470,1,409,86.56
Client 9,Bank Branch A,0,4.54,4.54,Invest,848,1,714,83.79
Client 15,Bank Branch A,0,4.4,4.4,Invest,319,1,1075,84.55
Client 9,Bank Branch A,0,5.67,5.67,Deposit,638,1,1352,
Client 4,Bank Branch B,0,5.6,5.6,Loan,650,1,409,85.35
Client 20,Bank Branch C,0,5.61,5.61,Retire,615,1,174,
Client 6,Bank Branch B,0,5.64,5.64,Deposit,445,1,1314,
Client 8,Bank Branch C,0,5.28,5.28,Loan,344,1,309,87.31
Client 9,Bank Branch A,0,5.86,5.86,Loan,742,1,1352,84.65
Client 13,Bank Branch A,0,6.67,6.67,Deposit,928,1,3118,
Client 8,Bank Branch C,0,7.03,7.03,Deposit,804,1,1113,
Client 4,Bank Branch B,0,6.98,6.98,Invest,339,1,409,86.56
Client 19,Bank Branch B,0,6.81,6.81,Invest,750,1,87,83.91
Client 5,Bank Branch C,0,6.91,6.91,Deposit,372,1,808,
Client 12,Bank Branch A,0,8.05,8.05,Retire,605,1,454,
Client 15,Bank Branch A,0,7.53,7.53,Loan,634,1,1075,84.55
Client 6,Bank Branch B,0,8.53,8.53,Retire,899,1,415,
Client 6,Bank Branch B,0,8.62,8.62,Deposit,256,1,671,
Client 15,Bank Branch A,0,9.36,9.36,Deposit,797,1,1872,
Client 13,Bank Branch A,0,9.4,9.4,Retire,548,1,2570,
Client 12,Bank Branch A,0,10.62,10.62,Loan,717,1,1171,84.58
Client 2,Bank Branch B,0,10.29,10.29,Invest,546,1,218,86.08
Client 18,Bank Branch B,0,10.13,10.13,Deposit,586,1,1770,
Client 9,Bank Branch A,0,10.45,10.45,Deposit,577,1,1929,
Client 13,Bank Branch A,0,11.68,11.68,Invest,429,1,2570,83.72
